customer_id,age,gender,loyalty_tier,signup_year,preferred_store
CUST000001,42,F,Silver,2022,Miami-Brickell
CUST000002,23,F,Bronze,2021,NYC-Manhattan
CUST000003,48,M,Bronze,2020,Phoenix-Central
CUST000004,51,F,Gold,2023,Houston-Heights
CUST000005,18,M,Bronze,2020,Houston-Galleria
CUST000006,19,F,Silver,2021,Chicago-Loop
CUST000007,39,F,Silver,2022,Houston-Galleria
CUST000008,33,F,Silver,2022,NYC-Brooklyn
CUST000009,37,M,Bronze,2020,Miami-Brickell
CUST000010,26,M,Gold,2022,LA-Downtown
CUST000011,50,Other,Bronze,2021,NYC-Brooklyn
CUST000012,48,M,Gold,2020,Houston-Heights
CUST000013,38,F,Bronze,2022,NYC-Manhattan
CUST000014,53,F,Bronze,2023,LA-Pasadena
CUST000015,44,F,Bronze,2023,LA-Downtown
CUST000016,25,F,Gold,2020,Miami-Brickell
CUST000017,43,F,Silver,2020,LA-Downtown
CUST000018,24,F,Bronze,2022,Phoenix-Central
CUST000019,50,M,Bronze,2020,Chicago-Oak Park
CUST000020,37,F,Silver,2020,Chicago-Oak Park
CUST000021,35,M,Bronze,2021,Houston-Galleria
CUST000022,28,F,Bronze,2020,Houston-Galleria
CUST000023,55,F,Silver,2022,LA-Downtown
CUST000024,35,F,Bronze,2020,Miami-Brickell
CUST000025,32,M,Bronze,2021,NYC-Manhattan
CUST000026,33,M,Bronze,2020,LA-Pasadena
CUST000027,45,F,Silver,2022,LA-Pasadena
CUST000028,43,F,Silver,2021,Phoenix-Central
CUST000029,43,M,Bronze,2020,Chicago-Loop
CUST000030,44,F,Bronze,2021,Chicago-Loop
CUST000031,67,F,Bronze,2020,NYC-Manhattan
CUST000032,32,F,Bronze,2023,Phoenix-Central
CUST000033,30,F,Bronze,2021,Chicago-Loop
CUST000034,26,Other,Bronze,2022,NYC-Manhattan
CUST000035,46,F,Silver,2022,LA-Downtown
CUST000036,53,M,Bronze,2022,Houston-Heights
CUST000037,36,Other,Platinum,2022,NYC-Manhattan
CUST000038,26,F,Platinum,2021,Phoenix-Central
CUST000039,26,F,Bronze,2021,Chicago-Loop
CUST000040,47,F,Silver,2021,Houston-Galleria
CUST000041,48,F,Silver,2020,Houston-Heights
CUST000042,45,M,Bronze,2021,LA-Downtown
CUST000043,28,M,Bronze,2022,Chicago-Oak Park
CUST000044,41,M,Platinum,2020,NYC-Brooklyn
CUST000045,39,F,Bronze,2023,Chicago-Oak Park
CUST000046,41,F,Silver,2020,Houston-Heights
